tiempo,posicion_tics,velocidad_rpm
2026-08-12T11:20:30.651916,955,0.0
2026-08-12T11:20:31.152310,955,0.0
2026-08-12T11:20:31.652176,955,0.0
2026-08-12T11:20:32.152157,955,0.0
2026-08-12T11:20:32.652418,955,0.0
2026-08-12T11:20:33.151839,955,0.0
2026-08-12T11:20:33.652655,955,0.0
2026-08-12T11:20:34.152564,955,0.0
2026-08-12T11:20:34.652191,955,0.0
2026-08-12T11:20:35.152515,955,0.0
2026-08-12T11:20:35.652718,955,0.0
2026-08-12T11:20:36.152193,955,0.0
2026-08-12T11:20:36.651941,955,0.0
2026-08-12T11:20:37.152200,955,0.0
2026-08-12T11:20:37.652536,955,0.0
2026-08-12T11:20:38.152576,955,0.0
2026-08-12T11:20:38.652191,955,0.0
2026-08-12T11:20:39.151900,955,0.0
2026-08-12T11:20:39.651898,955,0.0
2026-08-12T11:20:40.152112,955,0.0
2026-08-12T11:20:40.652177,955,0.0
2026-08-12T11:20:41.151972,955,0.0
2026-08-12T11:20:41.652278,955,0.0
2026-08-12T11:20:42.152529,955,0.0
2026-08-12T11:20:42.652273,955,0.0
2026-08-12T11:20:43.152010,955,0.0
2026-08-12T11:20:43.651932,955,0.0
2026-08-12T11:20:44.152410,955,0.0
2026-08-12T11:20:44.652166,955,0.0
2026-08-12T11:20:45.152198,955,0.0
2026-08-12T11:20:45.652354,955,0.0
2026-08-12T11:20:46.152228,955,0.0
2026-08-12T11:20:46.652554,955,0.0
2026-08-12T11:20:47.152149,955,0.0
2026-08-12T11:20:47.652116,955,0.0
2026-08-12T11:20:48.152232,955,0.0
2026-08-12T11:20:48.651998,955,0.0
2026-08-12T11:20:49.152493,955,0.0
2026-08-12T11:20:49.652321,955,0.0
2026-08-12T11:20:50.151899,955,0.0
2026-08-12T11:20:50.652630,955,0.0
2026-08-12T11:20:51.151922,955,0.0
2026-08-12T11:20:51.652587,955,0.0
2026-08-12T11:20:52.152238,955,0.0
2026-08-12T11:20:52.652062,955,0.0
2026-08-12T11:20:53.152142,955,0.0
2026-08-12T11:20:53.652187,955,0.0
2026-08-12T11:20:54.152133,955,0.0
2026-08-12T11:20:54.652859,955,0.0
2026-08-12T11:20:55.152191,955,0.0
2026-08-12T11:20:55.651937,955,0.0
2026-08-12T11:20:56.152192,955,0.0
2026-08-12T11:20:56.652496,955,0.0
2026-08-12T11:20:57.151962,955,0.0
2026-08-12T11:20:57.652011,955,0.0
2026-08-12T11:20:58.151942,955,0.0
2026-08-12T11:20:58.651848,955,0.0
2026-08-12T11:20:59.152601,955,0.0
2026-08-12T11:20:59.652219,955,0.0
2026-08-12T11:21:00.152057,955,0.0
2026-08-12T11:21:00.652437,955,0.0
2026-08-12T11:21:01.152341,955,0.0
2026-08-12T11:21:01.652319,955,0.0
2026-08-12T11:21:02.152425,955,0.0
2026-08-12T11:21:02.652536,955,0.0
2026-08-12T11:21:03.152186,955,0.0
2026-08-12T11:21:03.652317,955,0.0
2026-08-12T11:21:04.151959,955,0.0
2026-08-12T11:21:04.651928,955,0.0
2026-08-12T11:21:05.151946,955,0.0
2026-08-12T11:21:05.652525,955,0.0
2026-08-12T11:21:06.151901,955,0.0
